,0
para21s10,"215 , as is known, first assumed that title."
para21s11,He received the nickname because he did not claim first rank in any of the many subjects in which he worked.
para21s12,S.
para21s13,Suidas Lex.
para21s14,T.
para21s15,I.
para21s16,p.
para21s17,850.
para21s18,with Küsters annot.
para21s19,"  The real profession of the scholar of antiquity can be, according to the nature of things, no other than to represent the ancient in both peoples everywhere in its original form, in its true coherence."
para21s20,"Philological criticism, however, primarily investigates the age, authenticity, and authenticity of written works, and evaluates their original correctness or their sometimes accidental, sometimes deliberate corruption, not infrequently up to the demonstrative restoration of what an author had really written, or at least up to the satisfactory indication of what is not of the alleged author."
para21s21,"Since this art is either based on handwritten documents or clarifies something for internal reasons of evidence, of which there are no witnesses, sometimes can not even exist, so one distinguishes a lower criticism, better a certifying , and a higher, which one should rather call the divinatory."
para21s22,Rarely do the two genres work separately for their common purpose; but there are not a few cases where critical divination alone rises to the highest degrees of probability; whereas criticism composed of both genres often guides the honest seeker to a truth no less convincing than that of which the exact sciences justly boast.
para21s23,"For in what way would it be very different if for the connoisseur it is shown by tenable reasons of proof how something not certainly authenticated was or was not a thousand to two thousand years ago , and if by strict demonstrations of another kind the unknown and invisible in nature and in the world building is revealed ?"
para21s24,"However, the kind of proofs is different, so also the art of proof: where the latter is greater, where it demands penetrating acumen and more prudent judgment, whether in the mathematical calculation or in the calculation and weighing of infinitely unequal historical moments, others may decide : But the certainty achieved is often no less here than there, although there is no commensurability in the degrees of such certainty; so that for those who reproach historical-critical demonstrations with the lack of mathematical rigor and evidence, in the end history must bear its guilt, that it is history and not mathematics."
para21s25,"Now that what our art has done here and there already often and in such a way that later found historical testimonies confirmed the judgment of the critic and his decision, not opinion, for every capable of judgment and sometimes even for incompetents, that will not be based on hunches, but on principles whose system to establish with philosophical accuracy is not indifferent to science."
para21s26, It is true that there are scholars who see in everything they call word-criticism little more than a sensible jugglery of small possibilities: but it would be easy to clear up the causes of this error.
para21s27,"With some they are quite individual, sometimes even physical, and therefore their mention is repugnant; others do not know to distinguish truth or certainty from probability and from possibility, still less the degrees of both the latter; some, finally, confuse the incapacity arising from defective materials with the incapacity of art."
para21s28,"But it is precisely there that criticism often demonstrates its best strength, where it shows on the basis of reasons to what level of conviction both sides can reach, and why an expression, a passage is incurable."
para21s29,"Methinks the physicians, with whom the critics sometimes compare themselves, know quite similar triumphs in their art."
para22s0," In addition to the disciplines mentioned so far, which pave the way for the friend of antiquity, their place awaits the art of style and composition, both in prose and in verse, along with the principles of ancient metrics."
para22s1,"For only the skill of writing in the manner of the ancients, only our own productive talent, enables us to fully understand foreign productions of the same kind and to comprehend in them more than certain subordinate virtues; and in this respect the skill of writing in the ancient languages, at least in Latin, becomes here more than subsidiary."
para22s2,"There is no question now of whether anyone else thinks it worth the trouble to present the fruits of learned research in a language in which alone they can be passed on in their original form and color to every future century, or whether one also wants to trust in writings of learned content to the only help of necessity, possible translations, which always remain below the originals, often disfigure excellent originals into caricatures for foreign countries: as it seems, the newest Europe wants to allow only the books explaining the once eternally consecrated writers to live on as long as each is able: although the hope of always seeing several languages developed next to us for every use, sooner or later, so that the overabundance of languages then to be learned does not silt the stream of learning through too many channels, even makes us expect an inevitable necessity to entrust what actually does not belong to the litterary education of a people, but of the whole thinking world, and is destined to become imperishable heritage, to only one old and perhaps, in certain matters, to one present language; if our countrymen, out of love for their language or out of love for all, will not disturb such an agreement in order to be more learned in every sense than their neighbors."
para22s3,"But I did not want to recommend the present use of a dead language as a living one, but consider here the art of writing in the ancient languages as a means, not for learning the languages, but by which hermeneutic and critical fluency and depth are gained."
para22s4,"In this art of composition, in particular, philosophical theory has since then taken the most uncertain steps, and would probably like to continue to stumble for a while, however many rich patterns are available in the ancients and the moderns, from which it could draw."
para22s5,"Nevertheless, it may remain imperfect; the disadvantage will not be great for the practitioner, who will certainly benefit from a theory different from that given by our latest sages, in whose profound analyses of the first reasons of an art sometimes the best artist can forget that it is precisely his own that is being spoken of."
para22s6, It seems worthwhile to point out in general the difference between the theories that facilitate production and the abstruse developments of the inner nature of the arts and their first causes.
para22s7,Who would deny the latter their merit and their scientific value?
para22s8,"But only the former were known to antiquity, whose τέχναι and artes formed real orators and poets; since today we will soon have theories according to which a speech or a poem can be made as little as a thunderstorm according to a brontology."
para23s0,"Thus, through philosophical grammar and the particularity of both languages, through hermeneutics, criticism, and the skill of style, the studies are completed that prepare the entrance into the circle of objects that provide the historical and real of science and the closer view of the ancient world."
para23s1,"In this way, too, the researcher will need all kinds of other auxiliary knowledge, especially from some of today's newly created disciplines and real sciences, sometimes also the knowledge of foreign languages, such as Oriental, Modern Greek, and some modern ones; otherwise he will be forced to leave many an investigation halfway, give many an erroneous finding for a useful discovery, and present useless data to other sciences as the results of thorough examinations."
para23s2,"However, the own field of the science of antiquity is already too wide, impassable in all directions even for the most diligent and courageous: how should one be allowed to include in its boundaries that which only serves to illuminate individual matters, certain passages of a writer, certain obscurities of a work of art?"
para23s3,"Accordingly, the quantity of pressing things already forces the friend of antiquity to draw modest boundaries and to devote his efforts to certain similar objects, because he would have to want to seek pleasing superficiality everywhere."
para23s4,"Therefore, even some scholars have been so pleased only in the workshops of grammar, interpretation and criticism that they hardly ever appeared as commentators of the historical parts, while others drew under the concept of grammarian and critic everything that belongs to science in general."
para23s5," Thus, mainly the Dutch scholars, e.g.."
para23s6,B.Ruhnkenius in Elog.
para23s7,"Hemsterhusii , where he tries to represent the researcher of antiquity in general under the ideal of the critic."
para23s8,"In a similar way, the ancients used the name of the grammarian, as we know from Sextus and other writers."
para23s9,"Of course, even the true artist of this kind cannot run his business happily without often fetching materials from all other districts and all polyhistory, as from him alone, in turn, the purification and processing of those materials is expected."
para24s0,"For only the secure handling of the described organs is the condition of thorough, the mark of self-acquired insights into antiquity; only through this the temple opens, from which only isolated sacred sagas come to those standing outside."
para24s1,"There is no doubt that there will always be people of general curiosity who, with the help of translations and excerpts, acquire a certain familiarity with antiquity; there have always been such lovers of this knowledge."
para24s2,"They can be compared with those who, without knowing the depths of the study of history and without exploring it themselves, collect historical knowledge to use it for the formation of their character and for other moral or political purposes."
para24s3,"If they found themselves endowed by nature with dispositions akin to the spirit of the ancients and susceptible to an easy transposition into foreign ways of thinking and situations of life, they acquired, however, through such half-acquaintances with the best writers, more of the wealth of those powerful natures and great patterns in thought and action than most of those who offered themselves to them as interpreters for life."
para24s4,"A shining example of this is one of our kings, of whom Prussians and all Germans are proud, and of whom every memory is inspiring beside the sublime characters of old."
para24s5,"But very different demands than men of this kind make on themselves are made on the actual scholar, who himself should prepare the material for the manifold use of others, and with higher demands science rises as a whole to fulfill each of the purposes lying in it."
para24s6," This must also be true of moral tendencies, although they do not belong to the inner doctrine."
para24s7,"Rarely will the true connoisseur of antiquity, siquidem homo est, neglect this beautiful fruit of his studies."
para24s8,"To some, it was itself one of the first points of view."
para24s9,"Thus wrote the greatest Latin philologist, J."
para24s10,"Fr. Gronov , to the statesman and great emendator of the Latin poets, Nic."
para24s11,"Heinsius: Ego a prima aetate in lectione veterum id potissinmm habui, ut mei mores emendarentur , non ut apices et puncta librorum."
para24s12,"Si interim frequenter legendo profecimus eo, ut genium capere scriptoris, ipsumque sua mente et stilo donare possem, in lucro deputavi."
para24s13,(Burm.
para24s14,Syll.
para24s15,epistt.
para24s16,T.
para24s17,III.
para24s18,p.
para24s19,3).
para24s20,"If there were not now and then similar statements by famous linguists, who are known to the crowd as dry grammarians and critics, then perhaps every unlearned bungler, who moralizes or aesthetizes at the wrong time, would eternally renew the accusation of inhumanity against them, because in their writings they only did what was their business."
para24s21,"Strange enough! Why does one not proceed in the same way against the astronomer, against the anatomist, the botanist, every natural scientist, who leave so many beautiful opportunities unused for phrases and effusions about God's omnipotence and goodness, while they indulge in the driest and most inhuman musings and speculations?"
para24s22,"To this end, it demands that one see everywhere with one's own eyes, and disdains to accept anything without careful examination, an examination that one can certainly not make without knowledge of its sources and their proper use."
para25s0,We now come to the special doctrines that lead to the contemplation of antiquity.
para25s1,"They take their material from all three types of remains mentioned above, not only from the literary ones."
para25s2,"Not to speak of mythology and the so-called antiquities, how many contributions of news and theorems do not provide the monuments of art and those of mixed kind, even to the mere knowledge of ancient languages! But writings remain everywhere the main sources, which are to be visited first, and the bases of all philological and archaeological investigations; for which reason, then, the preliminary studies, which teach the right use of the writings, are followed in good succession by the series of doctrines, in which the profit drawn from the remaining works, as far as it can be separated, must be collected and preserved."
para25s3,We want to list them here in the order in which they can be arranged most naturally to the noblest purposes to which they aspire.
para26s0,"Nothing is more necessary than to become acquainted first with the places where the better-known peoples of ancient times lived and acted, in order to get to know their dwellings and their different conditions in different ages, from which much of the human nature peculiar to antiquity becomes explicable."
para26s1,"However, ancient geography is not, like chronology, merely auxiliary to history; it is itself a part of history; and one of the most difficult for scholarly treatment, partly because of the nature of the sources from which it is to be drawn, partly because of the art of using the sources."
para26s2,"From this side, the geography of today's world comes into minor consideration, as long as it brings together only temporary political news with ordinary judgment."
para26s3," The merit of the newer geography and the statistics related to it is especially obvious from the fact that both take on a new form almost monthly, where the older edits are then put back like calendars."
para26s4,"Yes, a few hours can make our political earth-movers bad disruptions in their hands works, an earthquake, for example."
para26s5,"E., a battle, a peace treaty."
para26s6,"At least, the old geography is secured against this, because its material, which in itself is also changeable, has long since become unchangeable."
para26s7,From the recent history in comparison with the old s.
para26s8,Ernesti Opuscc.
para26s9,orat.
para26s10,p.
para26s11,294 ff.
para26s12,"   Add to this the fact that in ancient geography so many questions concerning both the nature of the countries and the statistical condition of the same want to be answered periodically through all time periods, in that even the earlier centuries are not to be excluded, where the news and information are almost universally mixed with miraculous tales."
para26s13,"Therefore, here must be distinguished as two main types I."
para26s14,"The mythical geography and üranography, for the knowledge of the oldest Greek ideas of the universe and of the earth and its inhabitants, II."
para26s15,"the historical, along with chorography and topography."
para26s16,"This part begins approximately with the time of the Olympiads, since which the geographic mists disappear more visibly, and a better knowledge passes in increasing clarity through the following periods of the people's history."
para26s17,We have recently received excellent and with penetrating criticism treated contributions of both kinds from Voss and other Germans and a French scholar; but still much awaits here further and by richer data founded investigations.
para26s18, 
para27s0," The moderns have already been longer and more diligently occupied with the second discipline, which is actually historical and ethnological: nevertheless, it still lacks many treatments to lay a solid foundation for scientific treatment."
para27s1,"The old history can claim the name of science only when the necessary views of its scattered material will be more satisfactorily completed by examination of the individual facts and the chains of events will have been so sifted through that nowhere a main link remained unexamined; Only then can history, sufficiently prepared for the intellect, receive its completely scientific form for reason; whereby it must be just that in the ideal what nature is in the real, and the world events, as far as the freedom allowed to man by fate suffers, only another kind of products than the products of nature."
para27s2,    Man cf.
para27s3,the beautiful execution of Schelling in the Vorless.
para27s4,   on the method of academic study S.
para27s5,214 ff.
para27s6,Would this thinker have talked there also about our whole science according to his ideas.
para27s7,"However, we would like to remain far away from this higher view, if scientific construction is to take place earlier than the materials have been artfully procured through knowledge of the language and critical use of the sources, and as long as a lot of laborious preliminary work is set aside as unimportant and petty."
para27s8,"Such works are the real contribution of the scholar of antiquity, who, however, if he himself can raise his eyes to the purely scientific, will not cede this use of the material to the historical philosophers who may soon come forward."
para27s9,"The political history and the history of peoples, however, just as the geography and the history of art, comprehends not only the Greeks and Romans, but all known peoples of that time, the very least of which we would know without the remains of Greece."
para27s10,"The peoples themselves will have to be presented according to their origin, existence and downfall, each for itself, not in the manner of some recent universal histories worked into the dramatic, but in aggregates of the peoples' histories lined up next to and after each other, whose entire epitome must then combine memory and understanding into a whole according to length and breadth."
para27s11,"Incidentally, the chronology of ancient times and historical criticism provide the historical study with necessary auxiliary knowledge."
para27s12,"The doctrine that is generally called antiquities, by an expression already in use among the Romans, Plin."
para27s13,H.
para27s14,N.
para27s15,"XIII, 13."
para27s16,Gell.
para27s17,"I, 25."
para27s18,"III, 2."
para27s19,"XI, 1."
para27s20,"XIII, 12."
para27s21,Cic.
para27s22,Acadd.
para27s23,"I, 3."
para27s24,Augustin.
para27s25,by C.
para27s26,D.
para27s27,"VI, 3."
para27s28,"These passages are cited against the Latinists, who are in agreement with Chr."
para27s29,Saxius preferred to say antiquitas rather than antiquitates.
para27s30,"But the singular has visibly another meaning, and certainly no age could use it of a part of historiography or as a title of a historical work, for what the Greeks called ἀρχαιολογία , as writings of Phanodemus , Dionysius of Halik."
para27s31,u.
para27s32,a.
para27s33,betitelten.
para27s34,"Did they not remember the famous Varronian work, Antiquitates rerum humunarum et äivinarum , the one from which perhaps in more recent times the name was first borrowed?"
para27s35,"   Archaeology, too, which in German has been called Alterthumskunde for some time, still has indefinite and, according to the nature of things, indeterminable limits."
para27s36,"Heyne and other scholars have recently remarked that it is most appropriate to include in it such subjects as are contained in our statistics for today's peoples, and that at least an excellent attention should be paid to political science."
para27s37,"One could also suggest to bring into this spacious framework a lot of things that do not find a proper place elsewhere, and yet are of such a nature that the knowledge of the characteristic in antiquity gains."
para27s38,"If, therefore, in the antiquities of our two nations (in the case of the Asiatics, the little that is known is better placed in their history), if in the case of the Greeks and Romans, the news and explanations belong here most of all, by means of which one gets to know the shorter or longer lasting state and condition in the political, religious, military and in the relationships connected with it, together with the customs and habits; It is to be hoped that many similar things will be used to illustrate their lives, and that especially everything that can be found in the mechanical arts and all kinds of trades among the ancients will be carefully collected."
para27s39,B.
para27s40,agriculture and much of the old technology could fill extensive sections.
para27s41,"By the way, states and constitutions are the leading concept here, whereas history tells only incidents and events in their succession; in that they represent what is becoming, antiquities, on the other hand, what has become."
para27s42,"Nevertheless, also the latter, as several have rightly demanded, want to be treated, if possible, according to periods of history, because many ideas appear at most half-true, as soon as they are not linked to certain points in time."
para27s43,"In passing, it should be mentioned that the study of ancient Greece receives its most beautiful interest from the paintings of the youthful progress, which we perceive in general civilization, in the formation of states through legislation and an orderly judiciary, and in various spiritual cultures among the Greek peoples; which is precisely why the journey of the disciple Anacharsis, although it contains little new research and is all too modern on the whole, has such an attractive appeal."
para27s44,The
para28s0,"The first part is mythology, a part of ancient knowledge, which still lacks a great deal of development, since even the material for it has been collected too little until now."
para28s1,"Since then, this material has been searched only on the easy ways, but it is hidden in so many remote places that its collection is one of the most laborious works."
para28s2,And that would hardly be halfway aligned.
para28s3,"First, a philosophical comparison of the new and the old world must be added to the examination of the individual, namely of the various uncultivated peoples discovered in recent times and their legends and traditions, as well as the Hebrew and other Oriental ones, without distorting the stamp of Greek fantasy, so that through all this it will be possible for us, who lack a thousand rings of the earliest system of thought, to attain to some extent correct concepts of the child-wisdom and the first plays on ideas of the Greeks."
para28s4,"The Greek mythology is a collection of such ideas, legends, poems, which the nation has produced in the first times of its existence, about nature and world and gods or higher beings, about everything else, on which the not yet to the cultivated culture of the mind advanced man could turn the outer and inner sense, especially about the history of the oldest settlements and the great deeds of leaders and heroes."
para28s5,A mythology of this content worthy of our attention we get again from the Greeks alone.
para28s6,"It is true that the Romans, like the Etruscans before them, had a number of old Italian fables, such as we know from Ovidius and some Christian church teachers: But since, with the spread of Greek literature in Rome, the Greek fables, through the reading of the poets and through the immediately Greek theater, soon merged with the Italic ones, and in part melted together with them, and the art of the image, cultivated by Greeks alone, introduced the native legends and traditions of beautiful and profound meaning into the realm of poetic truth embodied; so it was natural that the less poetic legends of Italy receded into the obscurity in which they had first arisen."
para28s7,"In the Greek mythology, on the other hand, which we have survived more completely, we see the first elements of human history and the germs of all scientific enlightenment, according to which, from Heyne Man s."
para28s8,especially Dessen's preface to M.
para28s9,G.
para28s10,"Hermann's Handbook of Mythology, Berlin 1787."
para28s11,8.
para28s12,"  The first part of the book is the first part of the book, the second part is the first part of the book, the third part is the first part of the book, the third part is the first part of the book, the third part is the first part of the book, the third part is the first part of the book, the third part is the first part of the book, the third part is the first part of the book."
para28s13,"Each main class of fables, or, as a Dutch scholar G."
para28s14,J.
para28s15,"van Swinden, who published a learned sample of a new edition of Apollodorus in the Miscell."
para28s16,Observed.
para28s17,crit.
para28s18,Nov.
para28s19,T.
para28s20,III.
para28s21, p.
para28s22,37.
para28s23,has left behind.
para28s24,Vgl.
para28s25,Heyne at Apollod.
para28s26,S.
para28s27,914.
para28s28,and here and there in other writings.
para28s29,"  The first one, which I began to say myths, gives its contribution to this system of ancient ideas, namely the nature myths, as attempts of a stammering philosophy, further the doctrine of gods and demons, which, however, must not be treated as a religious theory, then the traditions of the people's leaders and heroes through the so-called heroic times, then the moral myths and oldest allegorical teachings for the needs of human life, finally the geographical, astronomical and other fictions of the purely poetic age."
para28s30,"From several of these arose subsequently a cycle, which, founded by bards and poets, more or less sanctified by the faith of the people, later taken up and developed by artists, constituted a main part of the beautiful art of the image-maker; and as an artistic mythology is entitled to a separate treatment."
para29s0,"The mythology can be immediately followed by the history of the learned enlightenment in both nations, namely after a double division."
para29s1,"First of all, the external history of literature, which deals with the written works of the Greeks and Romans, their authors, their lives and the circumstances in which they wrote, in short, with everything that contributes to scholarly d.."
para29s2,i.
para29s3,"The book is prepared historically by a thorough reading and use of the works, and provides instructive information."
para29s4,This is the field on which G.
para29s5,J.
para29s6,"Vossius, J."
para29s7, and J.
para29s8,A.
para29s9,Fabricius have worked with fame.
para29s10,"Here we consider the works first as Continentia, as monuments of their ages and authors; which is why the biography of the writers occupies us most here, with constant reference to the history of the state and the progress of higher culture."
para29s11,"The second section must be directed to the content of the works, and it results in the inner history of the ancient tradition, or the history of the origin, growth, flourishing state and decay of literature, partly in the spoken arts, partly in all the knowledge and sciences that were cultivated by the Greeks and Romans."
para29s12,"From this side, there are as many branches as there were arts and sciences in antiquity, such as history of poetry, of historical recitation, of artificial eloquence, of philosophy, of mathematics, of physics, of nature description, of medicine, of philology, and so on."
para29s13,s.
para29s14,w.
para30s0,"But in order to include the antiquity, as far as our information reaches, in its great extent in the view, in order to construct, as it were, the building shattered by the loss of so many works according to its ground plan, must be seen in the twofold history of literature on every more important appearance in view of the writers lost for us; for which collections of their fragments still existing here and there together with news of their merits and influences on their age are conducive."
para30s1,"How complex this business is, and how many skills have to be combined for such a construction, is overlooked at first consideration of the matter."
para30s2,"Only a few and thirty tragedies have survived from the Athenian stage, none from Sicily and other regions; since the Greeks, besides about five hundred tragedies performed with acclaim, had at least two hundred famous and recognized as classical: to prove the accuracy of such data, like several others, would lead beyond our limits."
para30s3,"That I calculated the numbers too small rather than too large , can once show a most complete enumeration of the losses suffered in each genus."
para30s4,One has nothing satisfactory about this yet.
para30s5,In the Fabric Library are z.
para30s6,B.
para30s7,"In the case of tragic and comic poets, many names are included in the registers of lost poets, only to report that they do not belong there; there is also much inaccuracy in the titles of individual lost plays, even in recent editions of the poets."
para30s8,"Occasionally, by the way, it must be noted here the fertility and energy of the spirit of the most famous Greek playwrights, which can excite the astonishment of any age."
para30s9,"Rarely does one leave behind less than sixty pieces; some have left behind a hundred and more, and plays of such artful poetic technique that ten such were enough in late times for a poet to achieve immortality."
para30s10,"And those poets lived partly not without public business; few at all had only one life business, like most of the newer ones."
para30s11,"  A similar ratio can be found in the remaining comedies against the number of those formerly performed and approved, or even praised: in history and geography, so many rich sources have dried up for us, that we have, for example, to find the most interesting comedies."
para30s12,B.
para30s13,"of the seventy historians who described the first Persian war, we do not possess a single one; so we have lost from orators and declamators, as far as can be calculated, about eighty, if not more."
para30s14,"In order to complete the literary picture of such writers, not only must circumstances of life and other reports be collected with judgment, but also their fragments, which have sometimes been preserved in numerous and substantial form by subsequent writers, must be read together and, if at all possible, combined into small wholes."
para30s15,"After this has happened, art and science of every kind make new and far more difficult demands on the processing of the material."
para30s16,"He who intends to work on the inner history of an art or science must not only be an ancient litterateur and critic; he must also be familiar with the art or science itself, whose course he wants to trace, whose gains and results he wants to appreciate."
para30s17,It is extremely rare to find both types of business together in some degree of perfection.
para30s18,"Hence the lamentable experience that we still read few thorough historical investigations of certain sciences, where the profundity and ingenuity of the Greek discovered so much with little help."
para30s19,B.
para30s20,"The first part of the book is a description of mathematics, especially of the astronomy of the Greeks, although the moderns are not lacking in scholarly compilations."
para30s21,"One thinks here of works such as the praised one by Montucla on the history of mathematical sciences, likewise of the Essai sur Histoire generale des Mathematiques par Chr."
para30s22,"Bossut, as much as this book has been through the Ital."
para30s23,Translation by Greg.
para30s24,"Fontana (Mailand, 1802, 8.) won haben mag."
para30s25,"What remains to be desired here everywhere would then become apparent if scholars, such as Ideler or Beimer, would devote their learned diligence to the same matters."
para30s26,"Monographs on particular subjects , such as on individual writings of Archimedes , Apollonius of Perga , etc ."
para30s27,should initially employ several.
para31s0,"By the disciplines thus brought to the overview, the mass of things would seem to be exhausted, the knowledge of which can make antiquity in its most important relations and peculiarities again into a lively whole."
para31s1,"Only two or three arts, which stand in the middle between the spoken and visual arts, deserve a passing mention."
para31s2,"These are the mimetic arts, whose representations are all temporary and leave no actual monuments , music and the art of declamation , or older rhapsodics (ἡ ῥαψωδική) , and the orchestral, dramatic, high dance art developed from the latter ."
para31s3,"Of these arts, far too little is known to us from our ancients to be able to subject them to a complete consideration; although we have to be careful not to underestimate the value of such arts, e.g., the use of the word ""art""."
para31s4,B.
para31s5,The reason why we should disparage the music is that its great difference from ours is obvious.
para31s6,"Even if it is not possible to state sufficiently what they were in each of their functions among the ancients, and what levels they reached, a conclusion for their value is nevertheless valid from the excellence of the other arts, in the wake of which they were appreciated by judges of the most delicate sense of beauty."
para31s7,"  Everyone remembers here the exact connection of these arts with the theatrical poetry, whose patterns belong to the most brilliant products of the Greek genius, or also the appreciation which Aristotle gave to those arts."
para31s8,"We would know a little more about this if the poetry of the philosopher had not come to us as a fragment of a larger writing, indeed as a fragment of a first draft."
para31s9, 
para32s0," Now the second genre of the remnants of antiquity, the works of drawing, sculpture and common technique, comes to be considered in and of themselves, not from the side of the yield they create for the real disciplines."
para32s1,"However, the great number and variety of such works and various other difficulties inherent in their genres present us with almost insurmountable obstacles."
para32s2,"First of all, these remains are themselves today scattered in several regions of the earth, where luck and chance have scattered them outside the motherland to their disadvantage: most of them can be studied artfully only in the places where they are once set up, in order to judge others with insight according to illustrations, which actually all remain deficient."
para32s3,"Furthermore, the illustrations, which have to provide us here with what the book print easily and with ever greater accuracy does for the written remains, they themselves, these casts, impressions, molds, are not a viable commodity for the most worthy works of art."
para32s4,"Already through these difficulties, many who otherwise wished to encompass antiquity as a whole are permanently excluded from this beautiful part of it: but far greater is another obstacle."
para32s5,"For the appreciation and enjoyment of the works of the spoken arts, everyone brings or acquires, more or less easily, such previous knowledge, without which both cannot be attained: it is quite different with the works of drawing and painting, where the elementary exercises and skills, the first conditions of all true enjoyment of art, are seldom included in the right measure in youthful instruction."
para32s6,"   In this respect, too, the Greeks were more concerned with what gives a humanly beautiful education than with such knowledge and training, by which the citizen is prepared for a certain need of the state's prosperity."
para32s7,"To the litterary, or, as they say, artistic preliminary exercises taken up early in the lessons, the art of drawing was later added as a part of the ἐγκύκλια παιδεύματα of a well-educated youth."
para32s8,So says Aristotle Polit.
para32s9,"VIII, 3: ""The youth is instructed in drawing, not in order not to be deceived in the buying and selling of household utensils and other art objects, but in order to gain insight into the essence of physical beauty: for to look everywhere only at the advantageous is unworthy of the free and noble-minded"". In Greek opinion, the occupation with the liberal arts and knowledge did not yet give a valid claim to liberal education; everything depended on the way in which it was pursued, and whether it was for the purpose of providing the whole man with an all-round education of his noblest powers."
para32s10,"Music, for example, pushed to virtuosity on one instrument, seemed illiberal to the thinking Greek where it was not supported by other talents and skills."
para32s11,Vgl.
para32s12,Aristotle.
para32s13,a.
para32s14,a.
para32s15,O.
para32s16,Cap.
para32s17,6.
para32s18,"In a similar sense, one hears the philosophers, mathematicians, and astronomers in Greece speak of the merits of their sciences."
para32s19,"Thus Archimedes spurned the very fame for which alone the crowd admired him, that of his mechanical inventions, ""as springing from necessity, and therefore all too akin to the works of the merely serviceable arts."" Plut."
para32s20,in Marcellus T.
para32s21,I.
para32s22,p.
para32s23,305 et seq.
para32s24," Archimedes, who had a great mind and depth of soul and a richness of theories, so that, since his name and glory were not of a human but of a demonic constitution, he did not produce a textbook on these things, but a treatise on mechanics and a treatise on the whole art of bravery [p."
para32s25,"480] rude and brutal leader, to those who alone put down his ambition, to which the good and unnecessary lack of the necessary care, being incomparable to others, but first providing the proof to the material, of which on the one hand the size and the beauty, and on the other hand the precision and the power of the super-genius provided ..."
para32s26,  Man s.
para32s27,"the further execution in Jacobi's imaginative treatise on learned societies , p."
para32s28,8.
para32s29,folgg.
para32s30,u.
para32s31,"Bossut, Essai sur l'hist."
para32s32,gen.
para32s33,d.
para32s34,Mathematics.
para32s35,T.
para32s36,I.
para32s37,p.
para32s38,58.
para32s39,75.
para32s40,seq.
para32s41,"  Therefore, according to what we said above about the necessity of one's own productive skill for a deeper understanding of the writings, one could also claim here that in the end only the few who were born with artistic talent and equipped with erudition used the best opportunities to acquire the necessary technical knowledge practically and theoretically could reach true perfect connoisseurship."
para32s42,"However, such people often regret that they are not familiar enough with literary antiquity to be able to pursue their insights into ancient works of art as a part of our science."
para32s43,"Thus, especially since Winckelmann's great and especially favored process, some litterators seized it, who were not allowed a voice either by the scholars or by the artists."
para32s44,"It is no wonder, then, that ideas and dreams about works of art and artists spread, and that someone who has never felt a poetic mood in himself, who has never made the slightest attempt at poetry, who has only learned from a few textbooks how, for example, a poem comes into being, could bring up something like this about poets."
para32s45,"In this regard, at least older archaeologists behaved with assured modesty, since they offered the works of art as mere monuments of antiquity and as explanators of the most eye-catching attributes and similar things."
para32s46,But the appreciation of the works of art as such suffered far too much from this to be able to forget the interest of science above the virtue of the scholar any longer.
para32s47,"In the future, therefore, it will make its claims, as it has done since then, regardless of whether they are fulfilled early or late."
para32s48,"If, however, good teaching methods should continue to lead more easily to thorough studies of the ancient languages, and if the well-circumscribed circle of ancient knowledge is then held out to a more vigorous youth, we have no doubt that the scientific requirements will approach their fulfillment more and more the more often and urgently they emerge."
para33s0,"In the past, the arrangement and classification of materials used to explain ancient works of art was so unclear that it seemed as if the most ingenious works of the artists were by no means to be considered for what they themselves announced themselves to be."
para33s1,"Rather, they were regarded as one might read a victory song by Pindarus or a tragedy by Sophocles for the sake of useful history and mythology; furthermore, the most disparate things were mixed together as remnants of ancient peoples: and this is what the classification that Jac."
para33s2,"Spon suggested, attaching the name archaeography to the whole customer."
para33s3, In Miscell.
para33s4,eruditae antiq.
para33s5,1685.
para33s6,f.
para33s7,also in Poleni Suppll.
para33s8,T.
para33s9,IV.
para33s10,"The first of the current French antiquarians, A."
para33s11,L.
para33s12,Millin in his introd.
para33s13,"to the study of the ancient monumens, Paris 1796."
para33s14,8.
para33s15,"  One has since then the vague and not much appropriate names archaeology and antiquarian study, L'antiquaria among the Italians."
para33s16,"In Germany, people have also said study of antiquity."
para33s17,"Of the recently attempted arrangements, the most applaudable is undoubtedly the one given by Böttiger in the 1."
para33s18,Th. of his allusions to 24 Vorless.
para33s19,"about archaeology, Dresd."
para33s20,1806.
para33s21,8.
para33s22,whose continuation is delayed for too long.
para33s23," preferred, and tried some better arrangements."
para33s24,"However, now that a good pattern is followed to distinguish the works of art from the monuments of antiquity, the boundaries of the area are again sometimes left fluctuating, and sometimes some things are neglected that can contribute to the knowledge of the historical context."
para33s25,"In order to treat each important piece of the antiquity expressed in pictures according to its value, a complete enumeration of what has been preserved, as much as possible, will be necessary."
para33s26,"According to this plan, the stock of plastic, graphic, glyptic, architectural and other such remains would have to be collected and listed for an introductory note, in as good an order as can be done, namely the statues, busts, reliefs, drawings, paintings, musiv works, cut stones, the debris of ancient architecture, along with other remains of subordinate merit, which could be called the prosaic pieces of the art world."
para33s27,"Whether one wants to include here or in another place the most important facts about the life circumstances and curiosities of the artists can seem indifferent; only such news cannot be completely ignored, and can hardly be included in the history of art itself."
